gene	symbol	pvalue	effectsize	signif
56098	PCDHGC4	0.000446216323265723	-1.6740240138201	TRUE
54893	MTMR10	0.000455077806090101	1.34736891512025	TRUE
4236	MFAP1	0.000458137715258928	-1.36209288710399	TRUE
145581	LRFN5	0.000459069210787926	-1.85168562431608	TRUE
2547	XRCC6	0.000462170348899751	-2.09956620488174	TRUE
9043	SPAG9	0.000474358412903896	-2.97401419832209	TRUE
129684	CNTNAP5	0.000476257473587555	-1.69896711675555	TRUE
53358	SHC3	0.000482047319651871	-2.30993320771155	TRUE
6714	SRC	0.000503698232158871	-2.34095528325805	TRUE
85453	TSPYL5	0.000507650557355769	-1.02250984690996	TRUE
4301	AFDN	0.000509136184540111	-2.76701436783224	TRUE
1368	CPM	0.000512102960009822	0.680048551706185	TRUE
8537	BCAS1	0.000545644385118785	0.485466987337327	TRUE
